PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-8339886963591873876,-0.1117273204473808,0.0,1.0,1.0,1.0,1.0,1.0,0.664,0.664,1.0,Bulk,3,0.0
-8339886963591873876,0.11163617051430734,0.0,1.0,1.0,1.0,1.0,1.0,0.972,0.972,1.0,Bulk,3,0.056661856661856635
-8339886963591873876,-0.3886242012255008,0.08,1.0,0.0,0.92,0.92,0.92,0.408,0.408,0.92,Bulk,2,0.0010307153164296021
-8339886963591873876,0.5402875059020085,0.012,1.0,0.0,0.976,0.976,0.988,0.488,0.488,0.988,Inner Tree Node,2,0.0202020202020202
-8339886963591873876,-0.481318587733749,0.0,2.0,1.0,1.0,1.0,1.0,0.816,0.816,1.0,Dense Sprout,1,0.0
-8339886963591873876,-0.045705297806911425,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.0004638218923933209
-8339886963591873876,0.31317821217317204,0.004,1.0,0.0,0.996,0.996,0.996,0.404,0.404,0.992,Bulk,2,0.00999793856936714
-8339886963591873876,-0.31908250722263987,0.0,1.0,0.0,1.0,1.0,1.0,0.756,0.756,1.0,Root,4,0.04379509379509376
-8339886963591873876,-0.26628375352785233,0.112,1.0,0.0,0.88,0.88,0.88,0.412,0.412,0.868,Bulk,3,0.03999175427746856
-8339886963591873876,-0.32043342340894676,0.0,1.0,1.0,1.0,1.0,1.0,0.82,0.82,1.0,Bulk,4,0.042286813715385146
-8339886963591873876,-0.007935343685424796,0.0,1.0,0.0,1.0,1.0,1.0,0.388,0.388,0.964,Bulk,2,0.007455507455507455
-8339886963591873876,0.8875633696041632,0.028,1.0,0.0,0.968,0.968,0.968,0.312,0.312,0.952,Bulk,2,0.0
-8339886963591873876,0.8103004783078881,0.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78,1.0,Bulk,3,0.014246939757143836
-8339886963591873876,0.06166096452914044,0.0,1.0,1.0,1.0,1.0,1.0,0.828,0.828,1.0,Bulk,3,0.07542382032177952
-8339886963591873876,-0.6053220172815905,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.009413866556723698
-8339886963591873876,0.1917425671562802,0.0,2.0,1.0,1.0,1.0,1.0,0.736,0.736,1.0,Sparse Sprout,1,0.0
-8339886963591873876,-0.3249336644526677,0.0,1.0,0.0,1.0,1.0,1.0,0.332,0.332,1.0,Dense Sprout,1,0.0
-8339886963591873876,0.810332216439522,0.0,2.0,1.0,0.932,0.932,1.0,0.74,0.74,1.0,Sparse Sprout,1,0.0
-8339886963591873876,-0.16583709520315082,0.004,3.0,1.0,0.964,0.964,0.996,0.448,0.448,0.996,Proper Leave,1,0.0
-8339886963591873876,-0.5482331329343515,0.008,2.0,1.0,0.972,0.972,0.992,0.808,0.808,0.992,Dense Sprout,1,0.0
-8339886963591873876,0.28581238267050785,0.0,2.0,0.0,1.0,1.0,1.0,0.304,0.304,0.94,Dense Sprout,1,0.0
-8339886963591873876,0.003390573775789987,0.0,1.0,1.0,1.0,1.0,1.0,0.616,0.616,1.0,Bulk,2,0.012368583797155224
-8339886963591873876,0.028097786898532012,0.0,1.0,1.0,1.0,1.0,1.0,0.672,0.672,1.0,Root,3,0.02259229810250218
-8339886963591873876,0.9073282240376904,0.388,1.0,0.0,0.596,0.596,0.596,0.348,0.348,0.596,Bulk,2,0.0026798598227169654
-8339886963591873876,-0.8323209410070421,0.064,1.0,0.0,0.932,0.932,0.932,0.372,0.372,0.912,Bulk,3,0.0
-8339886963591873876,-0.4371212234994033,0.0,1.0,0.0,1.0,1.0,1.0,0.356,0.356,0.984,Bulk,2,0.00045351473922902497
-8339886963591873876,-0.7073559383071424,0.012,1.0,1.0,0.988,0.988,0.988,0.704,0.704,0.988,Root,3,0.0202020202020202
-8339886963591873876,0.9378349628941137,0.0,1.0,1.0,1.0,1.0,1.0,0.848,0.848,1.0,Root,3,0.021645021645021644
-8339886963591873876,-0.5005649927639148,0.0,1.0,1.0,1.0,1.0,1.0,0.724,0.724,1.0,Sparse Sprout,1,0.0
-8339886963591873876,0.13835972154752693,0.0,2.0,0.0,1.0,1.0,1.0,0.308,0.308,0.968,Sparse Sprout,1,0.0
-8339886963591873876,-0.49296580632922293,0.0,1.0,0.0,1.0,1.0,1.0,0.392,0.392,0.888,Bulk,3,0.006212759273983762
-8339886963591873876,0.9180888577440182,0.128,1.0,1.0,0.864,0.864,0.864,0.68,0.68,0.864,Root,3,0.02535559678416821
-8339886963591873876,-0.4288371098470792,0.0,2.0,0.0,1.0,1.0,1.0,0.312,0.312,1.0,Proper Leave,1,0.0
-8339886963591873876,0.77030977620912,0.0,1.0,1.0,1.0,1.0,1.0,0.832,0.832,1.0,Inner Tree Node,2,0.03999175427746856
-8339886963591873876,0.1670968561630004,0.0,1.0,1.0,1.0,1.0,1.0,0.728,0.728,1.0,Bulk,2,0.0
-8339886963591873876,-0.06757204143587092,0.06,3.0,1.0,0.94,0.94,0.94,0.604,0.604,0.94,Inner Tree Node,2,0.0202020202020202
-8339886963591873876,0.5354550252696744,0.036,1.0,0.0,0.96,0.96,0.96,0.372,0.372,0.952,Bulk,2,0.00999793856936714
