PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-6728038534217159887,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,8,0.29604156236809304
-6728038534217159887,0.054875885671237024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,5,0.21920566206280492
-6728038534217159887,-0.5838002957389615,0.0,1.0,0.0,0.99,0.99,1.0,0.88,0.88,1.0,Root,4,0.02302078118404649
-6728038534217159887,-0.6994325843280577,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,9,0.4648604607788281
-6728038534217159887,-0.294937626596657,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Root,9,0.18330879249246584
-6728038534217159887,-0.6530047743724531,0.1,1.0,0.0,0.9,0.9,0.9,0.76,0.76,0.9,Bulk,5,0.15175417930519972
-6728038534217159887,-0.21834889918255182,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Root,8,0.42207350472656574
-6728038534217159887,0.749028596440665,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,5,0.142444856730571
-6728038534217159887,0.8933223850831334,0.14,1.0,0.0,0.86,0.86,0.86,0.79,0.79,0.86,Bulk,5,0.061215655093206096
-6728038534217159887,-0.5993385001330145,0.0,1.0,0.0,1.0,1.0,1.0,0.78,0.78,1.0,Root,4,0.020683020683020685
-6728038534217159887,0.9510279581777008,0.02,1.0,0.0,0.98,0.98,0.98,0.8,0.81,0.97,Bulk,4,0.13699580842437983
-6728038534217159887,0.9833749457852342,0.36,1.0,0.0,0.61,0.61,0.61,0.44,0.44,0.63,Inner Tree Node,3,0.04019789734075448
-6728038534217159887,-0.57481480922985,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Root,4,0.11688311688311688
-6728038534217159887,-0.1245453563582,0.13,1.0,0.0,0.87,0.87,0.87,0.8,0.8,0.87,Bulk,4,0.07515534352269049
