PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-2351091494460819969,-0.5931634005320461,0.028,1.0,0.0,0.972,0.972,0.972,0.412,0.412,0.972,Bulk,3,0.0007386793101078814
-2351091494460819969,-0.5725626680574257,0.0,1.0,1.0,1.0,1.0,1.0,0.98,0.98,1.0,Bulk,2,0.009663790480117012
-2351091494460819969,0.25374502197336773,0.0,2.0,1.0,1.0,1.0,1.0,0.64,0.64,1.0,Bulk,2,0.0029890744176458454
-2351091494460819969,-0.33952724295303205,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.0007215007215007212
-2351091494460819969,-0.692992857697662,0.0,1.0,0.0,0.936,0.936,1.0,0.548,0.548,1.0,Root,3,0.0202020202020202
-2351091494460819969,-0.10151274860296856,0.032,1.0,1.0,0.964,0.964,0.964,0.548,0.548,0.964,Inner Tree Node,2,0.0202020202020202
-2351091494460819969,-0.5559990146424529,0.032,1.0,0.0,0.964,0.964,0.964,0.38,0.38,0.944,Bulk,3,0.058163836438419006
-2351091494460819969,0.015509008193082447,0.0,1.0,1.0,1.0,1.0,1.0,0.888,0.888,1.0,Bulk,2,0.0
-2351091494460819969,-0.873144063830207,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,4,0.016476805100962885
-2351091494460819969,-0.6116220849714127,0.0,1.0,1.0,1.0,1.0,1.0,0.988,0.988,1.0,Bulk,2,0.00669277812134955
-2351091494460819969,0.37810601938051214,0.0,1.0,1.0,1.0,1.0,1.0,0.672,0.672,1.0,Bulk,3,0.0007902150759293616
-2351091494460819969,-0.16760878339159666,0.0,1.0,1.0,1.0,1.0,1.0,0.948,0.948,1.0,Proper Leave,1,0.0
-2351091494460819969,0.1539776671408129,0.0,2.0,1.0,1.0,1.0,1.0,0.732,0.732,1.0,Bulk,2,0.0
-2351091494460819969,0.2902337935743349,0.0,1.0,1.0,1.0,1.0,1.0,0.848,0.848,1.0,Bulk,3,0.010475503332646212
-2351091494460819969,0.6825185659783335,0.0,1.0,1.0,1.0,1.0,1.0,0.892,0.892,1.0,Root,5,0.09157553403883514
-2351091494460819969,0.5372668651904855,0.0,2.0,1.0,1.0,1.0,1.0,0.608,0.608,1.0,Bulk,2,0.017544613017711347
-2351091494460819969,0.43679859681371574,0.132,1.0,0.0,0.856,0.856,0.856,0.372,0.372,0.852,Bulk,3,0.00041228612657184083
-2351091494460819969,0.027200118862265046,0.036,1.0,0.0,0.964,0.964,0.964,0.448,0.448,0.964,Bulk,2,0.0023362880505737645
-2351091494460819969,0.887763978722874,0.0,1.0,1.0,1.0,1.0,1.0,0.988,0.988,1.0,Root,3,0.03786160929018072
-2351091494460819969,0.732061987252691,0.08,1.0,0.0,0.92,0.92,0.92,0.496,0.496,0.92,Bulk,4,0.02654327499047997
-2351091494460819969,-0.3185921955960117,0.0,1.0,1.0,1.0,1.0,1.0,0.696,0.696,1.0,Bulk,3,0.03108293822579536
-2351091494460819969,-0.13564317227490563,0.0,1.0,0.0,0.996,0.996,1.0,0.504,0.504,1.0,Root,3,0.0202020202020202
-2351091494460819969,0.5883885372611217,0.072,1.0,0.0,0.92,0.92,0.92,0.532,0.532,0.92,Bulk,2,0.012220847935133651
-2351091494460819969,0.668668299078814,0.032,1.0,0.0,0.964,0.964,0.964,0.292,0.292,0.94,Bulk,2,0.0
-2351091494460819969,-0.27184211375988243,0.0,1.0,0.0,0.972,0.972,1.0,0.52,0.52,1.0,Inner Tree Node,2,0.0202020202020202
-2351091494460819969,0.5421901284455551,0.0,1.0,0.0,0.852,0.852,0.852,0.376,0.376,0.84,Inner Tree Node,2,0.0202020202020202
-2351091494460819969,-0.6779996195420003,0.0,1.0,1.0,1.0,1.0,1.0,0.72,0.72,1.0,Bulk,3,0.031918308448920685
-2351091494460819969,-0.2369768145996155,0.0,2.0,1.0,0.98,0.98,1.0,0.504,0.504,1.0,Sparse Sprout,1,0.0
-2351091494460819969,-0.40104549805211964,0.0,1.0,1.0,1.0,1.0,1.0,0.828,0.828,1.0,Bulk,2,0.0010307153164296021
-2351091494460819969,-0.03133362644610711,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sparse Sprout,1,0.0
-2351091494460819969,-0.36226353476398004,0.0,1.0,0.0,0.9,0.9,1.0,0.508,0.508,1.0,Inner Tree Node,2,0.0202020202020202
-2351091494460819969,0.5381631573608033,0.0,1.0,1.0,1.0,1.0,1.0,0.784,0.784,1.0,Bulk,2,0.023740809455095168
-2351091494460819969,-0.058330148636422066,0.0,2.0,0.0,1.0,1.0,1.0,0.392,0.392,0.996,Proper Leave,1,0.0
-2351091494460819969,0.11363451444818183,0.0,1.0,0.0,1.0,1.0,1.0,0.316,0.316,0.936,Bulk,2,0.029396443216318964
-2351091494460819969,0.6299757034106533,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,3,0.01067567205151425
-2351091494460819969,-0.5339836360231134,0.0,1.0,1.0,1.0,1.0,1.0,0.684,0.684,1.0,Bulk,2,0.0
-2351091494460819969,-0.5746370874017059,0.0,1.0,1.0,1.0,1.0,1.0,0.744,0.744,1.0,Bulk,2,0.0
-2351091494460819969,-0.5786150411186104,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.033261213136989536
-2351091494460819969,-0.7275776872907017,0.0,1.0,0.0,0.724,0.724,0.724,0.368,0.368,0.812,Inner Tree Node,3,0.04019789734075448
-2351091494460819969,-0.1339367801046006,0.0,2.0,0.0,1.0,1.0,1.0,0.296,0.296,1.0,Proper Leave,1,0.0
-2351091494460819969,0.9609168531403067,0.036,2.0,0.0,0.896,0.896,0.896,0.384,0.384,0.848,Bulk,4,0.0443909007916429
-2351091494460819969,-0.9531390099574155,0.008,2.0,1.0,0.976,0.976,0.992,0.668,0.668,0.992,Bulk,2,0.0
-2351091494460819969,0.502549697349731,0.0,1.0,1.0,1.0,1.0,1.0,0.792,0.792,1.0,Bulk,2,0.002643784786641929
-2351091494460819969,0.2435350268856984,0.076,1.0,0.0,0.92,0.92,0.92,0.432,0.432,0.92,Bulk,2,0.0
-2351091494460819969,0.1906120833852643,0.0,2.0,1.0,1.0,1.0,1.0,0.66,0.66,1.0,Dense Sprout,1,0.0
-2351091494460819969,-0.5878505268899521,0.0,1.0,0.0,0.884,0.884,0.884,0.324,0.324,0.884,Dense Sprout,1,0.0
-2351091494460819969,-0.2873663934513007,0.0,1.0,0.0,1.0,1.0,1.0,0.328,0.328,0.976,Bulk,2,0.018748758717702818
-2351091494460819969,0.11014867222756763,0.0,1.0,0.0,1.0,1.0,1.0,0.356,0.356,0.988,Bulk,3,0.004335875764447193
