PG_IDX,Abs_Spread,AX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
147318256991670372,0.47868797870960667,0.9459947197374022,-0.6752418827234412,0.172,1.0,1.0,0.828,0.828,0.828,0.828,0.828,0.828,Bulk,2,0.08426685662307185
147318256991670372,0.32075293921351494,1.0272404778871518,0.29313610838760806,0.0,1.0,1.0,1.0,1.0,1.0,0.968,0.968,1.0,Bulk,5,0.05646010692392883
147318256991670372,0.21653664995047764,0.8596546471338155,0.7167861561676312,0.0,1.0,1.0,1.0,1.0,1.0,0.916,0.916,1.0,Root,5,0.04088504088504088
147318256991670372,0.329868385140516,1.1444801789405201,0.06997009672832256,0.048,1.0,1.0,0.952,0.952,0.952,0.952,0.952,0.952,Bulk,3,0.0009997938569367142
147318256991670372,0.22424328739144844,1.1606979891087292,-0.18655043414735994,0.0,1.0,1.0,1.0,1.0,1.0,0.808,0.808,1.0,Bulk,2,0.0022675736961451248
147318256991670372,0.23019199386444905,1.7864828133695847,-0.3540898870576255,0.46,1.0,0.0,0.532,0.532,0.532,0.436,0.436,0.532,Bulk,3,0.013899196042053183
147318256991670372,0.27541048646810085,1.3689631402861884,-0.04070632761347781,0.0,2.0,1.0,1.0,1.0,1.0,0.768,0.768,1.0,Bulk,2,0.0013360600095293964
147318256991670372,0.6008255910904582,1.1163304743769826,0.851326031335541,0.004,1.0,1.0,0.996,0.996,0.996,0.996,0.996,0.996,Dense Sprout,1,0.0
147318256991670372,0.2655384024984146,0.9266640066759412,0.7796703438020758,0.256,1.0,1.0,0.732,0.732,0.732,0.712,0.712,0.732,Root,5,0.10441390534154911
147318256991670372,0.3459194960717961,1.1206681576873845,-0.21741638478769237,0.28,1.0,1.0,0.72,0.72,0.72,0.72,0.72,0.72,Bulk,3,0.045044713412060344
147318256991670372,0.4144978562164241,1.4232467151545047,0.09970868999631682,0.0,1.0,1.0,1.0,1.0,1.0,0.972,0.972,1.0,Bulk,3,0.029488296696088892
147318256991670372,0.08034774534426495,1.3688188973053208,0.09440147886321221,0.032,1.0,0.0,0.968,0.968,0.968,0.564,0.564,0.96,Bulk,3,0.00034357177214320065
